agency_short,request_type,description,processing_time,cost,how_to_description,payment_form_url,estimated_monthly_volume,deadline_window,effort_hours,online_available,api_available,mcp_available,related_pages,date_extracted,source_url,agency_full,eligibility,location_applicability,document_requirements,common_mistakes,community_feedback,user_tips,faqs,agency_phone,agency_email,agency_address,agency_hours,verified_by
Chula Vista Dev Svcs,Apply for a business license,"This applies to any individual or entity intending to conduct business within Chula Vista. It covers obtaining the required business license based on business type and size, with fees starting at $50 and additional fees based on gross receipts or classification. Licenses must be renewed annually.",Typically processed within 5 to 10 business days after application submission and fee payment.,50-500,"Determine your business type and license requirements, complete the application form online or in person, submit required documents, pay applicable fees, and receive your business license upon approval.",,,Business licenses must be obtained prior to commencing business operations; renewals are due annually by the anniversary date.,1-2,Yes,No,No,,2025-11-18,https://www.chulavistaca.gov/departments/development-services/business-licenses,City of Chula Vista Development Services Department,Any individual or entity intending to conduct business within Chula Vista must obtain a business license.,"Applies to all businesses operating within the city limits of Chula Vista, California.","Valid government-issued photo identification, Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits)",,,,"[{""question"":""Who needs a business license in Chula Vista?"",""answer"":""Any individual or entity intending to conduct business within Chula Vista must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 and vary based on business type and size, with additional fees for certain classifications.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5 to 10 business days after application submission and fee payment.""}]",(619) 691-5274,businesslicenses@chulavistaca.gov,"276 Fourth Avenue, Chula Vista, CA 91910","Monday to Friday, 8:00 AM to 5:00 PM",
City of Fremont,Apply for a business license,"This applies to any individual or entity conducting business within Fremont city limits, including home-based businesses and contractors. It covers obtaining a license to legally operate within the city. Fees vary based on business type and gross receipts, with a minimum annual fee starting at 50 USD.",Typically 5-10 business days after application submission and fee payment.,50-500,"Complete the Business License Application form, submit it with required documents and fees to the Business License Division, wait for application review and approval, then receive your business license certificate. Renew annually before expiration.",,,Business licenses must be obtained prior to commencing business operations and renewed annually by the expiration date.,1-2,Yes,No,No,"[""https://fremont.gov/DocumentCenter/View/2633/Business-License-Application-PDF"", ""https://fremont.gov/DocumentCenter/View/2634/Business-License-Application-Instructions-PDF"", ""https://fremont.gov/DocumentCenter/View/2635/Business-License-Fee-Schedule-PDF""]",2025-11-18,https://fremont.gov/278/Business-License,City of Fremont Business License Division,"Any individual or entity conducting business within Fremont city limits must obtain a business license, including home-based businesses, contractors, and out-of-city businesses operating locally.","This business license is required for all businesses operating within the city limits of Fremont, California.","Completed Business License Application form, Valid government-issued ID, Seller’s Permit (if applicable), Fictitious Business Name Statement (if applicable), Zoning clearance or approval (if applicable), Proof of insurance (if applicable)",,,,"[{""question"":""Who needs a business license in Fremont?"",""answer"":""Any individual or entity conducting business within Fremont city limits must obtain a business license.""},{""question"":""What is the cost to get a business license?"",""answer"":""Fees start at a minimum of 50 USD annually and increase based on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",(510) 494-4700,businesslicense@fremont.gov,"39550 Liberty St, Fremont, CA 94538","Monday to Friday, 8:00 AM to 5:00 PM",
City of Fresno Finance Department,Apply for a business license,This applies to any individual or entity conducting business within Fresno city limits. It covers obtaining a business license required before starting operations. Fees start at a minimum of 50 USD annually and vary by business type and size.,Typically processed within 5-10 business days after application submission and fee payment.,50-500,"Determine your business type and license requirements, complete the application online or in person, submit required documents and fees, receive your license certificate, and renew annually.",,,Business license must be obtained before starting business operations; annual renewal required by the anniversary date.,1-2,Yes,No,No,,2025-11-18,https://www.fresno.gov/finance/business-license/,City of Fresno Finance Department - Business License Division,Any individual or entity conducting business within the City of Fresno must obtain a business license prior to commencing operations.,"Applies to all businesses operating within the city limits of Fresno, California.","Completed business license application form, Valid government-issued photo ID, Seller’s permit (if applicable), Fictitious business name statement (if applicable), Zoning clearance or approval (if applicable)",,,,"[{""question"":""Who needs a business license in Fresno?"",""answer"":""Any individual or entity conducting business within the City of Fresno must obtain a business license before starting operations.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a minimum of 50 USD annually and vary based on business type and size.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5-10 business days after application submission and fee payment.""}]",(559) 621-1400,businesslicense@fresno.gov,"2600 Fresno Street, Fresno, CA 93721","Monday - Friday, 8:00 AM - 5:00 PM",
City of Irvine,Apply for a business license,"This applies to any individual or entity conducting business within the City of Irvine. It covers obtaining a business license required before starting operations. Fees vary by business type and size, with a minimum annual fee of 50 USD.",Typically processed within 5-7 business days after application submission.,50-500,"Complete the Business License Application form online or via PDF. Submit the application with required documents and payment. The Business License Division reviews the application. Upon approval, receive your business license certificate. Renew annually before the expiration date.",https://www.cityofirvine.org/business/business-license-application,,Business license must be obtained before starting business operations; annual renewal is required by the anniversary date.,1-3,Yes,No,No,"[""https://www.cityofirvine.org/business/business-license-application"", ""https://www.cityofirvine.org/business/business-license-fees"", ""https://www.cityofirvine.org/sites/default/files/2023-01/Business%20License%20Application.pdf""]",2025-11-18,https://www.cityofirvine.org/business/business-licenses,City of Irvine Business License Division,Any individual or entity conducting business within the City of Irvine must obtain a business license prior to commencing operations.,"Applies to all businesses operating within the city limits of Irvine, California.","Completed Business License Application form, Valid government-issued identification, Seller’s Permit (if applicable), Fictitious Business Name Statement (if applicable), Zoning clearance or approval (if applicable), Proof of insurance (if applicable)","Failing to submit all required documents, missing the annual renewal deadline, not obtaining additional permits if required for certain business types.",,,"[{""question"":""Who needs a business license in Irvine?"",""answer"":""Any individual or entity conducting business within the City of Irvine must obtain a business license before starting operations.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and size, with a minimum annual fee of $50.""},{""question"":""How long does it take to get a business license?"",""answer"":""Applications are typically processed within 5-7 business days after submission.""}]",(949) 724-6200,businesslicense@cityofirvine.org,"1 Civic Center Plaza, Irvine, CA 92606","Monday - Friday, 8:00 AM - 5:00 PM",
City of Long Beach Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within Long Beach city limits, including home-based businesses, contractors, and out-of-city businesses operating locally. It covers obtaining a business license required to legally operate within the city. Fees start at $45 and vary based on business type, number of employees, and gross receipts.",Typically processed within 5-7 business days after application submission and payment.,45-200,Determine your business classification and applicable fees. Complete the online business license application form. Submit required documents and pay the applicable fees. Receive confirmation and your business license certificate. Renew your business license annually before the expiration date.,https://www.longbeach.gov/finance/business-license/apply-for-a-business-license/,500-1000,Business licenses must be renewed annually by the expiration date to avoid penalties.,1-3,Yes,No,No,,2025-11-18,https://www.longbeach.gov/finance/business-license/,"City of Long Beach Finance Department, Business License Division","Any individual or entity conducting business within Long Beach city limits must obtain a business license, including home-based businesses, contractors, and out-of-city businesses operating locally.","Applies to all businesses operating within the city limits of Long Beach, California.","Completed business license application form, Valid government-issued ID, Seller’s permit (if applicable), Fictitious business name statement (if applicable), Proof of zoning compliance (if applicable), Federal Employer Identification Number (FEIN) or Social Security Number","Failing to renew the license annually, incomplete application forms, missing required documents, not paying applicable fees, misunderstanding fee structure based on business type and size.",,,"[{""question"":""Who needs a business license in Long Beach?"",""answer"":""Any individual or entity conducting business within Long Beach city limits, including home-based and out-of-city businesses operating locally.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $45 and vary based on business type, number of employees, and gross receipts.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5-7 business days after submission and payment.""}]",(562) 570-6211,businesslicense@longbeach.gov,"411 W. Ocean Blvd., Long Beach, CA 90802","Monday - Friday, 8:00 AM - 5:00 PM",
LADBS,Apply for a business license,"This applies to any individual or entity conducting business within Los Angeles city limits. It covers registration for business tax purposes and requires annual renewal. Fees vary based on business type, gross receipts, and number of employees, with a minimum tax amount.",Typically processed within 5-10 business days after application submission and payment.,26-1000,Determine your business classification and tax rate. Complete the Business Tax Registration application online or in person. Submit required documents and pay fees. Receive your Business Tax Registration Certificate. Renew annually.,https://finance.lacity.org/business-tax-registration/apply-or-renew-business-tax-registration,500-1000,Must register before commencing business operations; renew annually by the anniversary date of registration.,1-2,Yes,No,No,,2025-11-18,https://finance.lacity.org/business-tax-registration,Los Angeles Department of Building and Safety,Any individual or entity conducting business within the City of Los Angeles must register and obtain a business tax registration certificate.,"Applies to all businesses operating within the city limits of Los Angeles, California.","Valid government-issued photo ID, Business formation documents (e.g., Articles of Incorporation, Fictitious Business Name Statement), Federal Employer Identification Number (EIN) or Social Security Number, Lease agreement or proof of business location, Completed Business Tax Registration application form","Failing to register before starting business operations, not renewing annually, incomplete or incorrect application forms, missing required documents.",,"[""Prepare all required documents before applying."", ""Renew on time to avoid penalties."", ""Check your business classification carefully to determine correct fees.""]","[{""question"":""Who needs to get a business license in Los Angeles?"",""answer"":""Any individual or entity conducting business within the City of Los Angeles must register and obtain a business tax registration certificate.""},{""question"":""How much does the business license cost?"",""answer"":""Fees vary based on business type, gross receipts, and number of employees, with a minimum tax of $26.40 annually.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5-10 business days after application submission and payment.""}]",1-866-443-4514,,"200 N. Spring Street, Room 101, Los Angeles, CA 90012","Monday to Friday, 8:00 AM to 5:00 PM",
City of Oakland Business Tax Office,Apply for a business license,"This applies to any individual or entity conducting business within Oakland city limits, including home-based businesses, contractors, and out-of-city businesses operating in Oakland. It covers obtaining a business license and paying the applicable business license tax based on business type and gross receipts. Costs vary with a minimum tax of $50 and rates depending on business category.",Typically processed within 5 to 10 business days after application and payment are received.,50-10000,Determine your business type and estimated gross receipts. Complete the Business License Tax Application form. Submit the application online or in person to the Business Tax Office. Pay the applicable business license tax. Receive your business license certificate.,https://www.oaklandca.gov/services/apply-for-a-business-license,500-1000,Business license tax is due annually by April 15; new businesses must apply before commencing operations.,1-2,Yes,No,No,"[""https://www.oaklandca.gov/services/apply-for-a-business-license"", ""https://www.oaklandca.gov/services/pay-business-license-tax"", ""https://www.oaklandca.gov/documents/business-license-tax-application-instructions"", ""https://www.oaklandca.gov/documents/business-license-tax-fee-schedule""]",2025-11-18,https://www.oaklandca.gov/services/get-a-business-license,City of Oakland Business Tax Office,"Any individual or entity conducting business within Oakland city limits must obtain a business license, including home-based businesses, contractors, and out-of-city businesses operating in Oakland.","This business license is required for all businesses operating within the city limits of Oakland, California.","Completed Business License Tax Application form, Valid government-issued ID, Federal Employer Identification Number (EIN) or Social Security Number, Seller’s Permit (if applicable), Fictitious Business Name Statement (if applicable), Proof of address or business location",,,,"[{""question"":""Who needs a business license in Oakland?"",""answer"":""Any individual or entity conducting business within Oakland city limits, including home-based and out-of-city businesses operating in Oakland.""},{""question"":""How is the business license tax calculated?"",""answer"":""The tax is based on business type and gross receipts, with a minimum tax of $50 applicable to all businesses.""},{""question"":""When is the business license tax due?"",""answer"":""The tax is due annually by April 15; new businesses must apply before starting operations.""}]",(510) 238-3704,businesstax@oaklandca.gov,"One Frank H. Ogawa Plaza, Suite 104, Oakland, CA 94612","Monday to Friday, 8:00 AM to 5:00 PM",
City of Riverside Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within Riverside city limits. It covers obtaining a business license required to legally operate, with fees varying by business type and size, starting at $50. Additional fees may apply for renewals or changes.",Typically 5-10 business days,50-500,"Determine your business type and license requirements, complete the application online or in person, submit required documents and fees, receive your license, and renew annually.",,,Business licenses must be renewed annually by the anniversary date of issuance; late fees apply after the due date.,1-2,Yes,No,No,,2025-11-18,https://riversideca.gov/finance/business-license,"City of Riverside Finance Department, Business License Division",Any individual or entity conducting business within Riverside city limits must obtain a business license.,"Applies to all businesses operating within the city limits of Riverside, California.","Completed business license application form, Valid government-issued identification, Seller’s permit (if applicable), Fictitious business name statement (if applicable), Zoning clearance or approval (if applicable), Proof of workers' compensation insurance (if applicable)",,,,"[{""question"":""Who needs a business license in Riverside?"",""answer"":""Any individual or entity conducting business within Riverside city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and size, with a minimum fee of $50.""},{""question"":""How long does it take to get a business license?"",""answer"":""Applications are typically processed within 5 to 10 business days after submission and payment.""}]",(951) 826-5900,businesslicense@riversideca.gov,"3900 Main Street, Riverside, CA 92522","Monday - Friday, 8:00 AM - 5:00 PM",
City of Sacramento Community Development Department,Apply for a business license,"This applies to any individual or entity conducting business within Sacramento city limits, including home-based businesses, contractors, and retail establishments. It covers obtaining the required business license to legally operate within the city. Fees start at a minimum of 50 annually and vary based on business type, number of employees, and gross receipts.",Typically 5-10 business days after application submission and payment.,50-500,Determine your business type and license requirements. Complete the Business License Application form online or via PDF. Submit the application with required documents and payment. Wait for review and approval from the Community Development Department. Receive your business license certificate and renew annually.,https://www.cityofsacramento.org/-/media/Corporate/Files/CDD/Business/Business-License-Application.pdf,100-300,Business licenses must be obtained prior to commencing business operations and renewed annually by the expiration date.,1-3,Yes,No,No,,2025-11-18,https://www.cityofsacramento.org/Community-Development/Business/Business-Licenses,"City of Sacramento Community Development Department, Business Licensing Division","Any individual or entity conducting business within Sacramento city limits must obtain a business license, including home-based businesses, contractors, and retail establishments.","Applies to businesses operating within the city limits of Sacramento, California.","Completed Business License Application form, Valid government-issued ID, Federal Employer Identification Number (EIN) or Social Security Number, Seller’s Permit (if applicable), Zoning clearance or home occupation permit (if applicable), Proof of workers' compensation insurance (if applicable)",,,,"[{""question"":""Who needs a business license in Sacramento?"",""answer"":""Any individual or entity conducting business within Sacramento city limits, including home-based businesses, contractors, and retail establishments.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a minimum of 50 annually and vary based on business type, number of employees, and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and payment.""}]",(916) 808-4930,business.license@cityofsacramento.org,"300 Richards Blvd, 3rd Floor, Sacramento, CA 95811","Monday - Friday, 8:00 AM - 5:00 PM",
Treasurer,Apply for a business license,"This applies to any individual or entity conducting business within San Diego city limits. It covers obtaining a Business Tax Certificate, commonly known as a business license, required to legally operate. Fees start at a minimum of 25 USD and vary based on business type and size.",Typically 5-10 business days,25-1000,"Determine your business tax classification and fee, complete the Business Tax Certificate Application online or via PDF, submit the application with required documents and payment, receive confirmation and certificate upon approval, and renew annually before expiration.",https://www.sandiego.gov/sites/default/files/business_tax_certificate_application.pdf,,Business licenses must be renewed annually by the anniversary date of issuance; late renewals may incur penalties.,1-2,Yes,No,No,,2025-11-18,https://www.sandiego.gov/treasurer/businesses,"City Treasurer's Office, City of San Diego",Any individual or entity conducting business within the city of San Diego must obtain a Business Tax Certificate (business license).,"Applies to all businesses operating within the city limits of San Diego, California.","Completed Business Tax Certificate Application form, Valid government-issued photo ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or licenses if applicable",,,,"[{""question"":""Who needs a business license in San Diego?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a Business Tax Certificate.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at a minimum of 25 USD and vary based on business type and size.""},{""question"":""How long does it take to get the business license?"",""answer"":""Typically processed within 5 to 10 business days after application submission.""}]",(619) 236-6700,businesstax@sandiego.gov,"1200 Third Avenue, Suite 100, San Diego, CA 92101","Monday to Friday, 8:00 AM to 5:00 PM",
